Locid,CY 2002 Boardings,CY 2003 Boardings,CY 2004 Boardings,CY 2005 Boardings,CY 2006 Boardings,CY 2007 Boardings,CY 2008 Boardings,CY 2009 Boardings,CY 2010 Boardings,CY 2011 Boardings,CY 2012 Boardings,CY 2013 Boardings,CY 2014 Boardings,CY 2015 Boardings,CY 2016 Boardings,CY 2017 Boardings
SJC,"5,248,193",5104201,5269849,5309992,5283407,5255257,4780264,4103834,4056167,4108006,4077654,4315839,4621003,4822480,5321603,6130878
MEM,"5,231,998",5411496,5295062,5630305,5508235,5546321,5376818,5054191,4930935,4344213,3359668,2301003,1800268,1873716,2016089,2102739
MCI,"5,161,518",4860047,5040595,5063120,5466672,5833064,5386242,4894349,4946173,5011000,4866850,4836221,4982722,5135127,5391557,5628581
CLE,"5,146,975",5012446,5389196,5529629,5447482,5571219,5387625,4704329,4591097,4401033,4346941,4375448,3686315,3916922,4083476,4446555
SJU,"4,607,290",4706846,5222456,5336690,5226471,5149177,4635798,4094662,4243475,3983130,4204478,4103197,4187888,4233638,4343354,4203766
MSY,"4,598,838",4647706,4839400,3912884,3127963,3770246,3990374,3916746,4088889,4255411,4293624,4576539,4870569,5329711,5569705,6022318
SMF,"4,260,514",4390847,4795970,5108364,5182641,5382463,4986771,4460600,4424279,4370895,4357899,4255145,4384616,4714729,4969366,5341595
RDU,"4,198,873",3938925,4371883,4723989,4706587,4979553,4792909,4435624,4465736,4462508,4490374,4482016,4673869,4954735,5401714,5692659
BNA,"4,009,959",3943236,4298703,4563251,4779474,4887925,4648000,4385780,4432527,4673047,4797102,5050989,5396958,5715205,6338517,6902771
SNA,"3,968,978",4266083,4621107,4791786,4777896,4948846,4464380,4311329,4278623,4247802,4381172,4540628,4584147,4945209,5217242,5082716
HOU,"3,819,306",3703767,3960890,3961642,4115021,4239375,4246907,4087524,4357835,4753554,5043737,5377050,5800726,5937990,6285181,6538976
IND,"3,411,978",3673648,3992097,4221085,4008638,4097398,4061450,3732534,3728698,3670396,3586422,3535015,3605908,3889567,4216766,4343722
CMH,"3,283,639",3050585,3071447,3281452,3336994,3827349,3419513,3096515,3145962,3134379,3095575,3063822,3115501,3312496,3567864,3689570
SAT,"3,224,764",3120098,3376750,3604665,3915428,3911726,4018866,3791928,3916320,3992304,4036625,4005874,4046856,4091434,4179994,4382127
BDL,"3,221,081",3098556,3326461,3617453,3409938,3231374,3006362,2626873,2640155,2772315,2647610,2681181,2913380,2926054,2982194,3164647
AUS,"3,186,381",3177889,3446564,3645956,3945020,4181956,4268536,4027100,4201136,4436661,4606252,4900959,5219982,5797562,6095545,6813171
ONT,"3,092,677",3089025,3291726,3458935,3404361,3473272,2998110,2416872,2380881,2271458,2142393,1970538,2037346,2089801,2104625,2247645
ABQ,"2,973,093",2945468,3079172,3169861,3176299,3239096,3158971,2881798,2828420,2768435,2630574,2477783,2354184,2323883,2341719,2412328
DAL,"2,815,907",2797303,2945909,2949256,3443537,3988199,4021976,3675861,3783407,3852886,3902628,4023779,4522341,7040950,7554596,7593361
MKE,"2,779,197",3114864,3302604,3602536,3630098,3751345,3861333,3822542,4760170,4671976,3710384,3214811,3228607,3229897,3327536,3414477
PBI,"2,716,514",3011968,3281656,3496936,3418310,3475345,3232009,3004076,2958416,2877158,2796359,2844507,2926242,3113591,3100624,3110450
OGG,"2,663,824",2656254,2695000,2843845,3027106,3141449,2652335,2496145,2587214,2683933,2861278,2955304,3019338,3220753,3352813,3442189
PVD,"2,662,721",2553584,2732524,2846002,2588992,2499677,2342593,2153168,1951566,1920699,1809322,1884830,1764828,1763676,1803000,1940806
RSW,"2,551,187",2906367,3320019,3701665,3764223,3986928,3770681,3668279,3714157,3748366,3634152,3788870,3948006,4159215,4239261,4364224
JAX,"2,462,399",2415747,2619494,2890298,2971953,3138015,2965973,2777041,2755719,2700514,2579023,2549070,2589198,2716473,2729129,2701861
ANC,"2,388,563",2246683,2439969,2430081,2367390,2617964,2599313,2282637,2342310,2354987,2249717,2325030,2381826,2525893,2563524,2556191
BUR,"2,305,747",2352465,2455574,2761184,2836413,2950652,2647287,2294991,2239804,2144915,2027203,1918011,1928491,1973897,2077892,2402106
RNO,"2,170,828",2242299,2478179,2510458,2441502,2450451,2150816,1828818,1857488,1821051,1685333,1671926,1611572,1669876,1771864,1953028
BUF,"2,060,710",2039475,2206385,2436952,2522123,2677183,2744501,2657467,2602968,2582597,2592630,2567594,2378469,2336431,2313724,2348512
OMA,"1,747,320",1783714,1892379,2052234,2075306,2162954,2136880,2083973,2097958,2047055,2018738,1975339,2020354,2046179,2127387,2243658
SDF,"1,740,526",1656609,1720377,1862017,1836260,1912495,1845317,1622804,1651037,1650707,1642790,1668667,1634983,1640297,1631494,1684738
ORF,"1,731,105",1722999,1895472,1953003,1862325,1867307,1786594,1701246,1663294,1606695,1651440,1560754,1488114,1515200,1602631,1694329
TUS,"1,677,341",1699762,1863790,2050377,2090514,2178748,2070573,1795534,1844228,1779679,1710649,1569932,1597247,1549253,1594594,1669928
MHT,"1,647,797",1776347,1973142,2149035,1931563,1920911,1834875,1578349,1391797,1342308,1210189,1190082,1032964,1026349,995403,969229
OKC,"1,579,179",1615264,1695096,1773522,1799977,1840760,1838709,1662631,1710993,1738438,1801650,1788400,1861272,1803188,1796473,1894289
ELP,"1,452,631",1409164,1555212,1638242,1658102,1669792,1613946,1495879,1509093,1458965,1442102,1363102,1395363,1381392,1414376,1450115
TUL,"1,450,242",1363682,1462799,1563622,1599853,1621017,1606622,1416249,1382895,1346122,1324202,1323377,1371613,1359582,1342315,1374424
ALB,"1,448,263",1405611,1536263,1533301,1443360,1423754,1365854,1302814,1250282,1216626,1222354,1196532,1210825,1276793,1388860,1393666
BHM,"1,405,395",1376152,1498651,1595443,1551339,1648476,1623506,1442155,1443215,1429282,1412483,1334177,1299214,1325897,1304467,1333967
BOI,"1,380,227",1357984,1451728,1581338,1656677,1689046,1574210,1400343,1406750,1395554,1307505,1313741,1378352,1487777,1633507,1777642
GUM,"1,375,996",1076944,1336766,1420751,1416354,1420257,1314725,1250479,1411024,1369586,1477926,1562165,1436726,1420500,1444299,1566429
GEG,"1,354,085",1375698,1508921,1583737,1605069,1710425,1691345,1494490,1545115,1487913,1456279,1417731,1445572,1515351,1570652,1698433
GSO,"1,262,124",1291949,1339579,1310034,1082846,1089436,1052258,862679,855073,894290,889135,853532,851157,848249,848261,881024
LIH,"1,238,972",1228675,1233883,1257848,1331432,1450512,1287696,1228150,1175203,1203525,1308549,1315141,1340014,1491688,1458940,1535075
KOA,"1,200,897",1183215,1260328,1355639,1450717,1519345,1332667,1279968,1276343,1295389,1367091,1376641,1403559,1485777,1569602,1764995
ROC,"1,176,736",1233378,1364869,1450181,1417039,1431412,1349694,1273783,1263965,1190967,1202903,1209245,1173933,1177994,1186002,1205774
RIC,"1,168,023",1194270,1251406,1452066,1644419,1805992,1733668,1649284,1651131,1571155,1582565,1597913,1671096,1740391,1777648,1822486
DAY,"1,144,295",1306740,1442849,1220130,1303779,1412758,1454618,1240848,1248787,1247333,1289758,1244841,1120842,1041759,1019922,935373
LIT,"1,101,623",1063920,1138249,1265098,1236223,1245098,1181846,1108603,1097403,1063673,1111442,1055293,1005251,958510,958824,979530
COS,"1,038,027",1010985,1024656,1025481,997763,1040879,997348,931993,877367,828516,836998,657962,624317,593246,657694,815839
ISP,"961,601",939880,986103,1055832,1138061,1167515,1048768,929902,858741,781396,667603,662612,646171,603653,597133,648593
GRR,"960,482",986923,1074816,1041967,1005586,992539,902925,883677,1089002,1126552,1063153,1123257,1174821,1280803,1334979,1412132
SYR,"945,066",954229,1130236,1222657,1128483,1179113,1105143,1016571,1024505,982709,974293,991551,987169,987732,988496,1013149
SAV,"846,683",829821,957208,1032676,950904,992625,959037,799066,798194,785251,789663,798376,932416,980531,1056265,1192340
DSM,"846,301",887515,975859,922099,947393,963231,919990,853596,898840,932828,1018188,1078496,1141172,1156462,1216357,1257521
CHS,"788,811",809052,909084,1072182,944143,1145129,1174667,1095038,1013418,1247459,1283970,1441415,1539326,1669988,1811695,1945699
MSN,"759,506",802730,846369,804519,803503,783937,728075,747941,766953,741365,799053,825702,833634,826640,903155,943363
ITO,"712,162",630498,647533,637753,695801,803627,648263,651212,611782,605251,641904,640411,626950,627171,640757,664790
LGB,"708,686",1409039,1425875,1481659,1343151,1415280,1413251,1401903,1451404,1512212,1554846,1438756,1368923,1220937,1386357,1830745
TYS,"693,351",692271,782135,904004,815130,888995,839266,811379,804917,841237,846278,832588,845913,848390,887103,963752
GSP,"688,061",675498,780842,893397,756490,774450,699805,625728,642512,880994,936288,917088,945477,955097,991276,1051089
PNS,"665,881",689268,734921,815157,807069,832158,771917,694786,729748,750190,740852,744259,758612,787916,792916,839248
MDT,"652,552",650340,688610,647468,577559,643285,635627,615625,664968,655294,657074,657650,644048,587049,589511,582291
SFB,"648,144",619894,926820,789795,915135,985597,927188,836223,553892,768938,873069,971522,1064133,1209382,1321675,1434990
ICT,"635,839",691191,729051,718457,710380,769124,780756,730374,751601,740675,735270,736090,757695,773550,781944,789533
PWM,"623,093",625267,687344,734295,710142,819995,876102,871291,851566,833005,799136,836942,837820,858449,886343,925903
MYR,"614,828",650106,748608,776051,692364,804742,705430,704771,782737,848230,722775,823294,858288,899859,944849,1131959
JAN,"611,117",607968,639947,722219,727658,717576,678976,635116,618373,615622,611592,595951,537821,497042,491464,462655
SRQ,"563,625",533045,562398,656007,712379,782497,753126,675969,670992,657157,637264,594970,598219,607449,589860,590941
PSP,"547,190",627231,687098,715627,771867,806679,772906,739349,751068,759510,867720,875699,953607,947728,995801,1055970
BTV,"546,857",546452,627423,690641,681678,703186,747559,700592,640790,636019,615026,606503,602932,581143,593311,578014
TLH,"538,289",568514,585263,573723,492826,462233,399094,360441,325097,305686,331296,336129,339078,332777,345404,350174
GSN,"513,734",515115,584933,555647,484077,433090,441013,384882,433577,382386,411735,448177,495150,455232,430275,685642
CAE,"513,307",510860,625825,725573,633835,620918,565938,521165,486879,487474,487435,487180,498151,533575,553658,510188
STT,"512,986",555010,557101,575507,574402,599509,593589,589163,606137,596832,649691,645401,687172,706098,729382,619729
LBB,"509,452",508138,534388,552023,564799,577587,562241,534818,508858,503580,475767,454408,451238,443239,448093,460236
FAT,"497,156",501373,538394,574012,623997,636032,600489,580203,569879,615320,640350,684849,710353,695008,761298,755140
HSV,"481,374",512540,585058,619499,561395,607205,612690,572767,606127,614601,578993,505541,523248,519785,527801,519003
LEX,"477,173",581899,582328,536000,504787,520760,496384,450464,539492,533952,535541,539238,595083,606980,638316,637301
HPN,"461,448",426864,462981,462256,511559,823478,904482,964927,999831,972385,893184,764002,756189,757466,766170,759334
CAK,"440,346",576472,671278,711540,710337,691603,722337,715367,771107,814243,910712,851809,771155,759335,685553,619321
CID,"434,063",468056,473770,501351,516095,530417,499600,474508,462670,431874,491806,520360,570571,557383,547786,574636
ACY,"417,764",479546,508879,467148,458058,566076,527873,525121,669470,668930,663142,553695,594346,587967,589091,552690
SBN,"409,319",404607,397565,349847,378909,398500,357168,318974,317096,305386,299592,328992,311158,315313,329957,307471
MAF,"405,917",395011,414883,446161,473986,491847,488928,423801,445043,474423,497193,506726,547355,518509,471490,516983
GPT,"399,499",433199,437099,393803,403771,462416,487907,411978,461072,395350,394110,369597,325437,317154,305157,324611
ABE,"397,408",494173,507203,419122,397603,426687,392039,376091,414427,428332,350066,301969,298306,320544,324511,328914
HRL,"390,584",391401,433385,429396,431365,442838,417557,367269,373438,359166,375472,347829,293306,259864,263760,273070
AMA,"390,246",387809,419055,446395,446926,458228,453459,394569,394593,392815,389284,370508,362412,341132,334815,334563
XNA,"386,388",427417,492855,561045,567341,574056,547871,530087,549195,538850,546845,558141,619157,629905,673810,698257
CRP,"380,842",360799,391952,417022,429394,422391,388856,349383,339193,322903,313969,317667,347977,338312,325815,320263
FAI,"380,576",388841,420394,420597,424816,449076,456947,424496,435392,438188,450436,457372,459769,493443,538881,543839
MLI,"375,881",408219,441359,430992,453554,481595,476532,461888,477086,412470,396460,384198,372526,368114,364393,335940
SBA,"368,250",383902,417285,431079,434753,415399,413929,379777,382894,367328,370600,364360,335049,316511,329751,356608
BTR,"367,557",355491,368354,515991,526998,482253,416568,347815,382687,396403,406318,400712,380153,366102,364200,377670
FNT,"361,484",479350,596484,553468,532680,532621,526492,489388,497649,473113,412326,398132,421129,411763,398508,393549
GRB,"359,230",379849,400699,419308,443866,440176,410348,348151,349733,352157,282973,293703,302568,295245,292868,283823
BIL,"358,362",360505,395086,404427,403645,427389,422494,397073,388329,407375,440277,387773,420113,420426,423213,415093
JNU,"353,001",366200,377505,393453,394929,403825,378741,337038,344057,355499,353048,359291,375828,403538,420442,422266
GCN,"337,189",325815,368330,385920,388644,354624,294436,297894,318622,331924,336716,327814,340808,332050,319206,336255
VPS,"324,962",347645,380871,388778,350484,381992,373808,374220,348979,434455,373542,353953,360542,373072,440002,567633
TOL,"323,988",295309,305229,234335,194765,169679,129553,93669,88578,81127,78757,86221,98941,94044,92522,102988
MOB,"319,425",302035,308227,323209,296264,303512,286956,280491,277232,288461,277432,287661,288376,278053,288209,288222
SGF,"317,511",314834,354326,434362,428249,433232,380419,398025,381172,349091,364689,368752,420017,447843,462126,483259
PIE,"310,650",522308,666904,298647,200972,372283,363725,381029,384394,417223,436030,514358,663810,819974,915672,1023471
EUG,"308,662",300092,349161,359187,360877,379089,358819,340662,369397,393504,407124,434095,440198,447813,483224,529149
FSD,"303,085",298448,333338,356459,369760,392920,367874,332709,355939,423288,453007,481716,490448,493530,510105,540877
ROA,"298,606",289055,306896,326202,326214,348634,315293,297588,316478,320961,315877,310295,305496,300181,305212,309341
PHF,"293,181",360018,451113,514361,513367,513381,504292,498205,519906,516789,314139,263964,259082,202104,199421,197994
SHV,"291,642",290101,304490,319960,306832,307312,283624,242919,237945,265104,276460,279897,307540,295257,270395,267646
FWA,"288,996",294127,329135,307682,268122,289210,282449,259315,273056,272796,280732,294968,323252,353876,360369,359658
EYW,"272,440",299193,298790,314075,294047,270781,231339,234322,287359,335603,370637,402842,383776,362108,380505,392381
BZN,"271,712",281463,308929,336516,318115,335642,349550,343754,364521,397870,434038,442075,482683,512042,553245,598712
MFE,"268,236",270325,301764,352216,396157,413693,372640,361778,344302,332706,327615,335483,385631,391687,355224,336431
LAN,"260,685",273426,330416,314593,286358,256563,217437,139113,136548,186341,200836,216925,202118,180927,161863,196617
ATW,"259,624",250225,288197,299179,285123,288180,259340,271997,272471,242346,229248,246211,249656,258321,270633,281552
ACK,"253,422",229300,243313,252757,276866,282197,258214,204981,201390,169352,179128,183557,170361,155952,126197,113009
CRW,"251,178",239634,292054,317093,284159,269726,243793,238190,264818,282704,272901,250509,241566,225170,213412,202778
CHA,"248,512",232198,235968,249396,246893,301803,300796,311399,292830,304399,313861,312873,356077,393680,422442,482113
BGR,"239,617",302547,357040,433816,411352,346688,355508,388681,416328,391597,302610,315139,317200,273829,269013,302224
FAR,"239,305",250464,261872,285298,307947,300848,326941,352041,365963,346459,369969,403919,456372,437188,402976,404937
MSO,"237,705",254466,265948,271499,276170,285484,288071,281428,289875,292501,303886,298253,334948,350172,381582,387976
AVL,"236,898",222696,265043,315624,289550,292053,282306,293789,371226,361617,318395,342400,382586,393386,416939,478061
MBS,"236,620",222095,227462,213669,200150,186739,162703,144938,146870,136594,134801,120689,122918,119004,122469,110964
DAB,"234,558",275895,307295,297565,262503,340328,282784,202417,246627,274166,290144,293843,306542,306360,342495,346470
AZO,"233,554",222880,222128,235948,205637,188992,168687,130769,135555,148634,127517,129211,134832,122081,154242,146314
LNK,"229,625",213882,220232,203586,190456,170105,163177,142507,143230,135647,135085,138787,142205,160525,162876,154465
EVV,"223,636",217247,229671,244352,234308,222654,193349,153993,169967,169426,164767,161279,171212,203350,204352,213205
MFR,"219,569",233806,256896,286905,289083,311246,287688,287558,310824,301742,313638,306450,323563,370187,401469,440506
MGM,"215,365",212660,215553,203557,188329,181231,169956,163864,194540,188177,182313,157958,169764,175619,173210,152773
ILM,"215,107",208385,279308,339520,312600,392444,400993,400526,408058,395156,392155,397274,378203,388023,413185,422553
PSC,"211,473",210979,218546,240767,226975,242788,242483,258546,312915,327008,329833,327419,329087,348990,374301,376044
RAP,"206,337",217949,240703,244174,226323,237692,273151,266467,284126,254292,252592,256052,266623,264183,272537,286567
TRI,"205,385",195749,213650,244815,211177,212809,202730,217783,202114,220586,206904,204402,215259,216426,204926,193068
PIA,"204,333",178769,223407,255578,240469,271366,278426,242142,249595,249898,286507,291147,320054,318162,307189,312378
BMI,"202,866",207278,219918,227881,256708,262980,262846,243448,274677,284852,240181,211957,204523,186633,188490,163475
MLB,"201,247",194409,201148,226207,162079,137102,145117,110510,180441,207829,215300,211702,214704,220393,220360,221928
TVC,"197,366",191166,198189,219188,208520,202048,183357,175692,167488,170977,179879,189644,196451,210231,223924,235137
AVP,"196,069",180418,203356,221866,213233,219109,219745,204244,213422,228367,222060,216536,214805,219796,232855,261572
ASE,"188,330",189881,184261,193961,201642,182268,213381,216868,222755,221256,214892,206686,217648,233512,254392,244808
JAC,"184,874",212067,212247,247116,274031,278459,305566,284397,288325,279065,274343,294752,308509,313151,342044,341662
HYA,"180,807",158360,167522,177761,206980,204152,191906,138858,124560,100596,95717,87648,85184,65790,31027,29455
STX,"179,581",152296,166070,187461,186891,182467,169665,173373,187211,184331,200727,182752,185899,176588,196047,195634
MRY,"176,437",182725,183785,193728,200091,215797,207964,191585,190527,181640,196268,205069,186935,180605,192136,197099
SWF,"176,195",201851,250006,199741,156638,455045,392464,197655,201684,209966,185389,163815,158556,142603,140328,228640
CHO,"173,543",165565,185531,198133,185891,187078,169843,180462,197776,216957,230097,230699,250666,274767,295930,334347
EGE,"169,762",168347,194173,213233,217039,231719,212832,181666,201010,189276,167914,167166,165004,156937,163840,154577
LFT,"154,210",155520,162080,176448,207103,219442,210020,205913,220211,222795,226504,233498,247857,243840,206667,202640
AGS,"148,289",165874,174316,156170,134716,154558,176097,198489,246587,267631,271740,260523,263478,271915,270797,288834
BIS,"144,821",146077,163420,174567,181032,182918,178005,184103,196285,197181,239018,238929,248316,262469,273980,275098
RST,"144,180",139463,138041,142267,149600,160452,151250,128543,120063,110295,105371,109870,119874,114657,112864,143675
SBP,"142,959",141649,158107,174878,174869,179784,150089,118282,129220,132692,127336,135844,151394,144324,162719,197594
CWA,"141,892",154183,163361,163557,161449,158747,154312,144961,156251,135965,120449,123797,125395,126016,119222,116404
DLH,"141,611",119997,150235,146394,139480,169971,147793,125451,150556,146620,158569,155496,153583,131128,124284,122726
GTF,"138,453",126735,133762,156859,139362,145452,143811,146438,155204,168158,186790,182390,190361,182635,176730,171049
RDM,"135,847",139410,149445,180637,205930,236901,235192,221463,226400,230395,229736,236303,255654,280823,306517,364921
BET,"132,057",137782,140035,143670,137521,143341,140291,134848,144353,152366,148168,152084,155936,158824,155791,146652
GNV,"130,683",120547,135340,171036,153532,142068,136623,130166,159499,177282,190461,198388,206820,213225,206330,218578
ERI,"130,244",138256,176112,187997,161087,142365,124667,121164,127184,112749,109185,109520,97063,88953,87647,85631
FAY,"129,705",120651,158782,153524,154966,175432,202597,231002,258986,259445,255406,244345,230436,220339,224541,238568
GJT,"124,968",128066,140618,156815,159509,170443,212588,228850,219358,217988,217369,211091,214313,214404,218319,223452
UNV,"120,938",123871,137066,143800,132543,144160,133777,130527,143531,144054,137599,131753,142551,139124,134312,138423
CMI,"117,503",97189,118403,132077,117129,112440,98225,88068,85715,83731,86408,84853,95351,89836,89318,100133
IDA,"113,831",116326,117619,135058,152146,166503,148584,138957,144365,149315,160456,147073,166864,147923,146213,147729
BGM,"112,276",126252,133894,122443,107314,120465,108325,98090,108988,108172,105494,95210,82625,77654,68415,33425
LSE,"111,011",112545,123678,122068,118647,121243,111462,104537,109962,102958,97321,90297,98869,94874,94047,92101
SPI,"108,921",123019,112017,82218,65187,62138,56771,58197,61413,71862,65756,70651,86198,90413,93269,92048
EKO,"108,909",83837,71513,75618,34158,28523,25523,20668,21863,23543,33310,19510,18200,13701,14893,17115
HDN,"106,977",102375,120323,129755,131448,139642,136600,122480,110044,106534,99969,91823,92245,93896,107339,96403
DRO,"102,175",86198,96560,101742,113516,116310,134386,148077,163611,175649,186567,192797,193764,186800,187789,186917
AEX,"99,827",112497,153124,138494,137283,145761,142223,154736,179129,188286,189476,183899,175526,159252,129776,156145
KTN,"99,628",103313,107141,110211,108102,111048,108837,96996,100138,102086,103136,109433,115948,124747,127881,131144
BFL,"93,630",90187,118046,146607,171913,164400,141847,103067,111699,148347,152456,143175,140007,120966,100433,99472
MLU,"93,585",102280,115424,112086,111119,109011,88229,85314,100419,107290,101034,115757,120589,114170,102342,103547
MKK,"93,307",62739,66558,65240,76728,105953,89468,65984,88688,82136,72421,63879,79597,90122,92560,84139
IFP,"92,095",85661,95489,88102,89316,109366,122192,107595,121468,113280,110799,109647,99443,108888,109334,129949
ENA,"91,588",84426,85439,87924,93246,94720,96565,82184,86857,90806,99955,99821,100448,97820,92485,92973
ACV,"89,224",90202,96289,108698,103515,105969,106637,102440,93402,70455,61705,56682,51688,55168,69732,65932
ELM,"87,723",86931,97122,86925,83328,99211,104508,114519,131358,152582,145243,129749,159136,155936,139583,126472
GFK,"87,569",89662,91746,88065,86353,82700,88093,97361,117980,118872,137953,148665,146003,145785,132557,117520
FSM,"85,137",89510,90613,100546,93795,97344,85095,76401,83902,84136,84751,82742,90214,84136,83920,85726
ITH,"80,467",68262,72383,79953,77221,85665,91866,109991,121390,121733,119608,103501,89501,87321,88692,97212
LRD,"77,892",76077,83690,92316,97331,113974,106682,101252,112520,101780,102247,109773,116565,110368,101115,91462
HXD,"75,836",60954,63256,67282,62115,84790,79912,66893,73776,61006,60372,58348,54712,38322,30956,26220
HLN,"75,526",77184,84077,93204,87958,83402,85649,88314,98193,100695,95374,97310,96869,99460,103239,103773
CLL,"75,294",66721,73584,87484,85754,90895,80948,73287,72188,71555,70551,87409,91127,89844,78907,73430
EWN,"74,884",66258,88349,93768,85015,104105,111184,112881,126800,124085,125873,121479,118749,109237,106110,111147
MOT,"72,354",72736,74594,76467,75013,70960,71595,67080,91120,151424,222188,220797,219957,181328,150634,141161
CSG,"71,147",55552,56900,50889,44872,46972,51288,48526,63726,78718,74336,59675,50883,51790,44813,49773
MTJ,"70,816",69386,72448,78669,82316,92582,85868,92195,96601,87228,75296,84579,90630,102756,116272,123206
BLI,"70,517",66437,82205,101228,135129,238452,277281,326850,398368,515402,577028,596142,543346,447693,415285,370022
SIT,"70,095",69109,76150,73882,78918,74518,68197,62498,64536,65193,68222,67989,72027,81019,83404,83598
BRO,"67,885",60207,66587,76573,90580,91258,82723,80350,84401,85244,86090,100793,183604,143353,120151,116197
SUN,"66,780",74741,72522,69892,70057,67469,64233,49549,52755,50885,47734,51496,65801,67955,77729,86641
LNY,"64,583",48231,45493,45890,50896,61649,52075,42594,43922,43596,45692,47323,51918,40599,43275,37993
PPG,"63,329",68202,70863,56705,55841,44709,42929,43399,45206,45486,49213,49479,55156,65860,65439,71401
ADQ,"62,862",63284,66309,78128,77343,81713,82057,78375,80303,81149,78749,79930,79966,81970,79682,83577
YKM,"60,500",55877,54846,58094,57209,72016,69835,60028,53832,55902,57673,54308,57076,63747,70993,71547
LWS,"60,245",53907,43436,66444,66357,69726,64379,62210,61737,62845,62197,62209,62479,66579,72724,76729
MVY,"59,500",53011,49480,48977,45881,49205,45002,42248,43904,49095,50484,56313,52362,49853,54084,49767
DHN,"57,911",61143,69094,68330,57552,48019,47859,42071,41453,46388,46452,48423,50309,46792,49411,47304
BPT,"57,556",42244,53974,46253,38626,34806,28086,21208,17394,13670,5571,35790,38213,33747,26518,23767
SUX,"55,712",42262,41849,41738,33195,43518,49871,33096,24701,28137,27168,25313,31675,26104,36413,41787
TYR,"55,657",59970,70407,85997,79076,78482,76168,73841,74357,72602,73841,85789,86625,72294,52494,49653
SBY,"55,128",43163,60549,64564,62256,60521,58863,59662,65489,72568,76372,62670,62712,61782,58695,57421
SAW,"54,882",53615,57450,62951,68625,67999,56172,53802,57371,52326,38302,42335,41681,42578,45462,50938
CPR,"54,332",59546,68644,88731,78665,76566,74167,73969,83342,77758,88013,98625,103397,103123,92805,96843
RDD,"52,794",53868,60978,62509,66695,64284,63331,54141,54420,38290,29175,24875,23170,30852,43414,42361
LYH,"52,699",48608,61441,65895,60737,55785,55307,86366,93772,73821,79889,77795,78876,75824,75465,82489
OTZ,"52,106",56458,58999,58140,63417,64717,66322,57472,62177,62738,63032,61274,63128,66503,64481,67951
ACT,"51,519",56429,65213,71684,74235,76410,68381,66089,61401,61164,59836,62634,66631,62882,64356,58888
DBQ,"51,246",38644,38982,40777,46973,45878,42870,39359,33861,36148,32389,33465,35983,38248,37954,40324
